node_id,r_m,z_m,T_K
812,0.06,0.16,400.9440022
813,0.065,0.16,381.9810885
814,0.07,0.16,365.6295189
815,0.075,0.16,351.3254386
816,0.08,0.16,338.8099711
817,0.085,0.16,327.7053306
818,0.09,0.16,317.7061059
819,0.095,0.16,308.5479511
820,0.1,0.16,300.0041216
821,0.105,0.16,300.0023359
822,0.11,0.16,300.0016072
823,0.115,0.16,300.0007479
824,0.12,0.16,300
825,0,0.165,431.2970758
826,0.005,0.165,431.2296259
827,0.01,0.165,430.9940369
828,0.015,0.165,430.5539866
829,0.02,0.165,429.8015168
830,0.025,0.165,428.5936964
831,0.03,0.165,426.6405564
832,0.035,0.165,423.5696338
833,0.04,0.165,418.6861524
834,0.045,0.165,411.3858446
835,0.05,0.165,401.0780931
836,0.055,0.165,388.3559977
837,0.06,0.165,374.7513357
838,0.065,0.165,361.6873831
839,0.07,0.165,349.720737
840,0.075,0.165,339.0766011
841,0.08,0.165,329.6158115
842,0.085,0.165,321.1707046
843,0.09,0.165,313.5382066
844,0.095,0.165,306.5381411
845,0.1,0.165,300.0025624
846,0.105,0.165,300.00217
847,0.11,0.165,300.0013597
848,0.115,0.165,300.0006788
849,0.12,0.165,300
850,0,0.17,387.3292361
851,0.005,0.17,387.2700358
852,0.01,0.17,387.0688687
853,0.015,0.17,386.6931073
854,0.02,0.17,386.0590158
855,0.025,0.17,385.0500331
856,0.03,0.17,383.4698164
857,0.035,0.17,381.0403147
858,0.04,0.17,377.470688
859,0.045,0.17,372.3503653
860,0.05,0.17,365.7928585
861,0.055,0.17,357.7931405
862,0.06,0.17,349.4139051
863,0.065,0.17,341.0718599
864,0.07,0.17,333.3265612
865,0.075,0.17,326.2847356
866,0.08,0.17,319.9686023
867,0.085,0.17,314.2921688
868,0.09,0.17,309.1462909
869,0.095,0.17,304.4187285
870,0.1,0.17,300.0034602
871,0.105,0.17,300.0018965
872,0.11,0.17,300.0012924
873,0.115,0.17,300.0005974
874,0.12,0.17,300
875,0,0.175,343.6015918
876,0.005,0.175,343.5682991
877,0.01,0.175,343.452205
878,0.015,0.175,343.2381039
879,0.02,0.175,342.8778243
880,0.025,0.175,342.3117893
881,0.03,0.175,341.434349
882,0.035,0.175,340.1260038
883,0.04,0.175,338.2360199
884,0.045,0.175,335.6651715
885,0.05,0.175,332.4020674
886,0.055,0.175,328.6011899
887,0.06,0.175,324.5433105
888,0.065,0.175,320.5106067
889,0.07,0.175,316.6977179
890,0.075,0.175,313.2057471
891,0.08,0.175,310.0475991
892,0.085,0.175,307.1986938
893,0.09,0.175,304.609298
